bpm_gt,bpm_pred,failure_reason,mean_outlier_frac,mean_pr,mean_snr,mean_stability,median_n_valid_tones,n_windows,rel_err_pct,scenario,segment,valid_window_rate,variable
8.675,9.782820388708693,,0.0,1.3055761456771378,6.340757680374472,0.36841115605358804,72.0,15,16.09368927499677,cs_091339,1a,1.0,local_amplitudes
8.675,8.62600563983648,,0.05648148148148148,1.5139245217069859,7.170561888772998,0.4108550333860527,72.0,15,21.876287484927943,cs_091339,1a,1.0,phases
8.675,11.954335033923837,,0.0027777777777777775,1.872531897483562,5.316826947429845,0.44135933359059965,72.0,15,37.802132955894336,cs_091339,1a,1.0,remote_amplitudes
8.674999999999999,8.569964157566494,,0.12301587301587302,1.767550584181442,3.95112793129908,0.4317495372543127,72.0,14,13.418787604459604,cs_091339,1b,1.0,local_amplitudes
8.674999999999999,10.921815697942021,,0.002976190476190476,1.3847147877030481,2.43382747304084,0.3924381912646776,72.0,14,28.50520632255341,cs_091339,1b,1.0,phases
8.674999999999999,9.201409901581126,,0.005952380952380953,1.482266651791656,6.127769350350583,0.44460116270682043,72.0,14,6.636564952912948,cs_091339,1b,1.0,remote_amplitudes
11.49,nan,segment_too_short_or_no_tones,nan,nan,nan,nan,nan,1,nan,cs_091339,2a,0.0,local_amplitudes
11.49,nan,segment_too_short_or_no_tones,nan,nan,nan,nan,nan,1,nan,cs_091339,2a,0.0,phases
11.49,nan,segment_too_short_or_no_tones,nan,nan,nan,nan,nan,1,nan,cs_091339,2a,0.0,remote_amplitudes
11.49,nan,segment_too_short_or_no_tones,nan,nan,nan,nan,nan,1,nan,cs_091339,2b,0.0,local_amplitudes
11.49,nan,segment_too_short_or_no_tones,nan,nan,nan,nan,nan,1,nan,cs_091339,2b,0.0,phases
11.49,nan,segment_too_short_or_no_tones,nan,nan,nan,nan,nan,1,nan,cs_091339,2b,0.0,remote_amplitudes
14.039999999999996,14.577665527510309,,0.0,1.29288776520562,4.208115456488768,0.39428962828244274,72.0,13,24.32502573722311,cs_091339,3,1.0,local_amplitudes
14.039999999999996,9.769129007953254,,0.02884615384615384,1.561753623195116,2.9233383722997752,0.4151687131941881,72.0,13,30.419309060162,cs_091339,3,1.0,phases
14.039999999999996,14.022405978523352,,0.022435897435897436,2.1733493354288385,7.149278038995741,0.45414064900021484,72.0,13,4.257820154263463,cs_091339,3,1.0,remote_amplitudes
16.17,nan,segment_too_short_or_no_tones,nan,nan,nan,nan,nan,1,nan,cs_091339,4a,0.0,local_amplitudes
16.17,nan,segment_too_short_or_no_tones,nan,nan,nan,nan,nan,1,nan,cs_091339,4a,0.0,phases
16.17,nan,segment_too_short_or_no_tones,nan,nan,nan,nan,nan,1,nan,cs_091339,4a,0.0,remote_amplitudes
16.17,nan,segment_too_short_or_no_tones,nan,nan,nan,nan,nan,1,nan,cs_091339,4b,0.0,local_amplitudes
16.17,nan,segment_too_short_or_no_tones,nan,nan,nan,nan,nan,1,nan,cs_091339,4b,0.0,phases
16.17,nan,segment_too_short_or_no_tones,nan,nan,nan,nan,nan,1,nan,cs_091339,4b,0.0,remote_amplitudes
