bpm_gt,bpm_pred,failure_reason,level,method,n_tones,n_valid_tones,outlier_frac,quality,quality_pr,quality_snr,quality_stability,rel_err_pct,scenario,segment,selected_variable,valid,variable,variables_used,window_index
8.675,11.835364651774261,,variable,variable_equal_average,nan,nan,nan,0.4860915089711719,nan,nan,nan,36.43071644696554,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",0
8.675,11.855098033189556,,variable,variable_quality_weighted,nan,nan,nan,0.4860915089711719,nan,nan,nan,36.65819058431764,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",0
8.675,11.851675026623077,,variable,variable_weighted_median,nan,nan,nan,0.4860915089711719,nan,nan,nan,36.618732295366875,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",0
8.675,9.13465011880768,,variable,variable_mrc,nan,nan,nan,0.4860915089711719,nan,nan,nan,5.298560447350778,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",0
8.675,14.48530828437561,,variable,adaptive_selection,nan,nan,nan,0.4860915089711719,nan,nan,nan,66.97761711095802,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",0
8.675,10.497337152759222,,hierarchical,best_tone__adaptive_selection,nan,nan,nan,0.5293739370224636,nan,nan,nan,21.0067683315184,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",0
8.675,11.297438834571128,,hierarchical,liu_weighted_median__variable_weighted_median,nan,nan,nan,1.4623920242822435,nan,nan,nan,30.229842473442393,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",0
8.675,9.110870812163762,,hierarchical,snr_mrc__variable_mrc,nan,nan,nan,0.5127902485613034,nan,nan,nan,5.0244474024641095,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",0
8.675,11.855098033189556,,hierarchical,hierarchical_quality_fusion,nan,nan,nan,0.4860915089711719,nan,nan,nan,36.65819058431764,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",0
8.675,11.973325924341907,,variable,variable_equal_average,nan,nan,nan,0.4761815523809456,nan,nan,nan,38.02104811921506,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",1
8.675,11.996357145730856,,variable,variable_quality_weighted,nan,nan,nan,0.4761815523809456,nan,nan,nan,38.28653770294934,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",1
8.675,12.31762847339777,,variable,variable_weighted_median,nan,nan,nan,0.4761815523809456,nan,nan,nan,41.989953583835955,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",1
8.675,9.339361907074903,,variable,variable_mrc,nan,nan,nan,0.4761815523809456,nan,nan,nan,7.658350513831722,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",1
8.675,14.247761902405967,,variable,adaptive_selection,nan,nan,nan,0.4761815523809456,nan,nan,nan,64.23933028710047,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",1
8.675,10.566713732767289,,hierarchical,best_tone__adaptive_selection,nan,nan,nan,0.5257258929011802,nan,nan,nan,21.80649836042983,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",1
8.675,11.309073014892814,,hierarchical,liu_weighted_median__variable_weighted_median,nan,nan,nan,1.4332546137242301,nan,nan,nan,30.36395406216499,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",1
8.675,9.198445549969922,,hierarchical,snr_mrc__variable_mrc,nan,nan,nan,0.4901727332479671,nan,nan,nan,6.033954466512056,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",1
8.675,11.996357145730856,,hierarchical,hierarchical_quality_fusion,nan,nan,nan,0.4761815523809456,nan,nan,nan,38.28653770294934,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",1
8.675,11.96833687276738,,variable,variable_equal_average,nan,nan,nan,0.4596044439376028,nan,nan,nan,37.96353743824067,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",2
8.675,11.946749189071642,,variable,variable_quality_weighted,nan,nan,nan,0.4596044439376028,nan,nan,nan,37.71468805846273,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",2
8.675,12.324874552048527,,variable,variable_weighted_median,nan,nan,nan,0.4596044439376028,nan,nan,nan,42.07348186799454,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",2
8.675,9.597333509685853,,variable,variable_mrc,nan,nan,nan,0.4596044439376028,nan,nan,nan,10.632086566983892,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",2
8.675,14.027800874272327,,variable,adaptive_selection,nan,nan,nan,0.4596044439376028,nan,nan,nan,61.70375647576167,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",2
8.675,10.560625631241344,,hierarchical,best_tone__adaptive_selection,nan,nan,nan,0.5318323741915071,nan,nan,nan,21.736318515750348,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",2
8.675,11.064189976993665,,hierarchical,liu_weighted_median__variable_weighted_median,nan,nan,nan,1.4903285145346798,nan,nan,nan,27.541094835661838,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",2
8.675,9.530983866270129,,hierarchical,snr_mrc__variable_mrc,nan,nan,nan,0.4691922835945879,nan,nan,nan,9.867249178906372,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",2
8.675,11.946749189071642,,hierarchical,hierarchical_quality_fusion,nan,nan,nan,0.4596044439376028,nan,nan,nan,37.71468805846273,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",2
8.675,11.888279127594345,,variable,variable_equal_average,nan,nan,nan,0.44550941489200935,nan,nan,nan,37.04068158610194,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",3
8.675,11.9934012244077,,variable,variable_quality_weighted,nan,nan,nan,0.44550941489200935,nan,nan,nan,38.25246368193313,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",3
8.675,11.880975410963314,,variable,variable_weighted_median,nan,nan,nan,0.44550941489200935,nan,nan,nan,36.95648888718517,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",3
8.675,10.08431853768485,,variable,variable_mrc,nan,nan,nan,0.44550941489200935,nan,nan,nan,16.245746832101997,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",3
8.675,13.905841634210397,,variable,adaptive_selection,nan,nan,nan,0.44550941489200935,nan,nan,nan,60.29788627331868,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",3
8.675,10.581656908194338,,hierarchical,best_tone__adaptive_selection,nan,nan,nan,0.5376237553584237,nan,nan,nan,21.978753984949133,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",3
8.675,10.699099100123869,,hierarchical,liu_weighted_median__variable_weighted_median,nan,nan,nan,1.4958322591848514,nan,nan,nan,23.33255446828666,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",3
8.675,10.046487286880742,,hierarchical,snr_mrc__variable_mrc,nan,nan,nan,0.43132765335595225,nan,nan,nan,15.809651721968201,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",3
8.675,11.9934012244077,,hierarchical,hierarchical_quality_fusion,nan,nan,nan,0.44550941489200935,nan,nan,nan,38.25246368193313,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",3
8.675,10.95246087789574,,variable,variable_equal_average,nan,nan,nan,0.4420507639438762,nan,nan,nan,26.253151330210255,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",4
8.675,11.310090023126346,,variable,variable_quality_weighted,nan,nan,nan,0.4420507639438762,nan,nan,nan,30.375677500015502,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",4
8.675,10.23659005140096,,variable,variable_weighted_median,nan,nan,nan,0.4420507639438762,nan,nan,nan,18.001038056495204,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",4
8.675,10.546073688227917,,variable,variable_mrc,nan,nan,nan,0.4420507639438762,nan,nan,nan,21.56857277496157,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",4
8.675,13.755144201664107,,variable,adaptive_selection,nan,nan,nan,0.4420507639438762,nan,nan,nan,58.56074007681966,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",4
8.675,9.682771130531016,,hierarchical,best_tone__adaptive_selection,nan,nan,nan,0.540450519548977,nan,nan,nan,11.616958277014584,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",4
8.675,10.441223419698973,,hierarchical,liu_weighted_median__variable_weighted_median,nan,nan,nan,1.5149929010658818,nan,nan,nan,20.35992414638585,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",4
8.675,10.330717277305986,,hierarchical,snr_mrc__variable_mrc,nan,nan,nan,0.44688739508097247,nan,nan,nan,19.086078124564672,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",4
8.675,11.310090023126346,,hierarchical,hierarchical_quality_fusion,nan,nan,nan,0.4420507639438762,nan,nan,nan,30.375677500015502,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",4
8.675,10.727874269246238,,variable,variable_equal_average,nan,nan,nan,0.4530557185221859,nan,nan,nan,23.664256706008494,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",5
8.675,10.88914629743472,,variable,variable_quality_weighted,nan,nan,nan,0.4530557185221859,nan,nan,nan,25.523300258613485,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",5
8.675,10.477378589054439,,variable,variable_weighted_median,nan,nan,nan,0.4530557185221859,nan,nan,nan,20.776698432904183,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",5
8.675,10.766138602513712,,variable,variable_mrc,nan,nan,nan,0.4530557185221859,nan,nan,nan,24.10534412119551,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",5
8.675,13.228478337677977,,variable,adaptive_selection,nan,nan,nan,0.4530557185221859,nan,nan,nan,52.48966383490462,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",5
8.675,9.787607122098835,,hierarchical,best_tone__adaptive_selection,nan,nan,nan,0.5485679371431312,nan,nan,nan,12.825442329669565,cs_091339,1a,remote_amplitudes,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",5
8.675,10.66508453913852,,hierarchical,liu_weighted_median__variable_weighted_median,nan,nan,nan,1.59165251577524,nan,nan,nan,22.940455782576596,cs_091339,1a,,True,local+remote+phase,"local_amplitudes,remote_amplitudes,phases",5
